movie_name,score,score_num,title
肖申克的救赎,9.6,965527人评价,1
霸王别姬,9.5,700491人评价,2
这个杀手不太冷,9.4,913025人评价,3
阿甘正传,9.4,776396人评价,4
美丽人生,9.5,453941人评价,5
千与千寻,9.2,725972人评价,6
泰坦尼克号,9.2,716682人评价,7
辛德勒的名单,9.4,414557人评价,8
盗梦空间,9.3,820402人评价,9
机器人总动员,9.3,537793人评价,10
海上钢琴师,9.2,636098人评价,11
三傻大闹宝莱坞,9.2,732503人评价,12
忠犬八公的故事,9.2,501982人评价,13
放牛班的春天,9.2,490778人评价,14
大话西游之大圣娶亲,9.2,534225人评价,15
教父,9.2,370226人评价,16
龙猫,9.1,453092人评价,17
楚门的世界,9.1,502474人评价,18
乱世佳人,9.2,289264人评价,19
熔炉,9.2,291532人评价,20
触不可及,9.1,396716人评价,21
天堂电影院,9.1,328265人评价,22
当幸福来敲门,8.9,581395人评价,23
星际穿越,9.1,529479人评价,24
无间道,9.0,436180人评价,25
怦然心动,8.9,600507人评价,26
十二怒汉,9.4,183809人评价,27
搏击俱乐部,9.0,423523人评价,28
少年派的奇幻漂流,9.0,617745人评价,29
指环王3：王者无敌,9.1,303786人评价,30
鬼子来了,9.2,248444人评价,31
蝙蝠侠：黑暗骑士,9.0,349457人评价,32
活着,9.1,292094人评价,33
天空之城,9.0,355874人评价,34
罗马假日,8.9,411335人评价,35
大话西游之月光宝盒,8.9,430819人评价,36
飞屋环游记,8.9,532991人评价,37
两杆大烟枪,9.1,288264人评价,38
窃听风暴,9.1,239049人评价,39
飞越疯人院,9.0,291998人评价,40
疯狂动物城,9.2,548347人评价,41
控方证人,9.6,102099人评价,42
闻香识女人,8.9,343827人评价,43
海豚湾,9.3,190724人评价,44
哈尔的移动城堡,8.9,376104人评价,45
V字仇杀队,8.8,445496人评价,46
教父2,9.1,199551人评价,47
辩护人,9.1,223631人评价,48
死亡诗社,8.9,296726人评价,49
美丽心灵,8.9,322234人评价,50
指环王2：双塔奇兵,9.0,286237人评价,51
指环王1：魔戒再现,8.9,320046人评价,52S
情书,8.8,397220人评价,53
饮食男女,9.1,212908人评价,54
美国往事,9.1,184947人评价,55
天使爱美丽,8.7,505286人评价,56
狮子王,8.9,298256人评价,57
钢琴家,9.0,213246人评价,58
七宗罪,8.7,455710人评价,59
被嫌弃的松子的一生,8.9,305887人评价,60
小鞋子,9.2,146806人评价,61
致命魔术,8.8,362405人评价,62
素媛,9.1,194406人评价,63
勇敢的心,8.8,307186人评价,64
音乐之声,8.9,243319人评价,65
剪刀手爱德华,8.7,507589人评价,66
本杰明·巴顿奇事,8.7,412494人评价,67
低俗小说,8.8,351933人评价,68
西西里的美丽传说,8.7,369462人评价,69
黑客帝国,8.8,295817人评价,70
沉默的羔羊,8.7,370653人评价,71
拯救大兵瑞恩,8.9,251290人评价,72
入殓师,8.8,330078人评价,73
蝴蝶效应,8.7,399609人评价,74
玛丽和马克思,8.9,239559人评价,75
让子弹飞,8.7,651978人评价,76
春光乍泄,8.8,259438人评价,77
大闹天宫,9.2,105938人评价,78
心灵捕手,8.8,284388人评价,79
摔跤吧！爸爸,9.1,471709人评价,80
看不见的客人,8.7,326192人评价,81
